series_id	year	period	value	footnote_codes
SMS15000000000000001          	1990	M01	       516.9	
SMS15000000000000001          	1990	M02	       521.3	
SMS15000000000000001          	1990	M03	       522.3	
SMS15000000000000001          	1990	M04	       525.6	
SMS15000000000000001          	1990	M05	       527.3	
SMS15000000000000001          	1990	M06	       528.2	
SMS15000000000000001          	1990	M07	       529.6	
SMS15000000000000001          	1990	M08	       529.9	
SMS15000000000000001          	1990	M09	       530.4	
SMS15000000000000001          	1990	M10	       535.0	
SMS15000000000000001          	1990	M11	       537.4	
SMS15000000000000001          	1990	M12	       536.4	
SMS15000000000000001          	1991	M01	       540.2	
SMS15000000000000001          	1991	M02	       537.4	
SMS15000000000000001          	1991	M03	       536.5	
SMS15000000000000001          	1991	M04	       535.1	
SMS15000000000000001          	1991	M05	       535.7	
SMS15000000000000001          	1991	M06	       537.6	
SMS15000000000000001          	1991	M07	       539.8	
SMS15000000000000001          	1991	M08	       540.6	
SMS15000000000000001          	1991	M09	       540.8	
SMS15000000000000001          	1991	M10	       541.6	
SMS15000000000000001          	1991	M11	       542.5	
SMS15000000000000001          	1991	M12	       542.5	
SMS15000000000000001          	1992	M01	       542.0	
SMS15000000000000001          	1992	M02	       542.2	
SMS15000000000000001          	1992	M03	       543.2	
SMS15000000000000001          	1992	M04	       542.5	
SMS15000000000000001          	1992	M05	       542.4	
SMS15000000000000001          	1992	M06	       543.2	
SMS15000000000000001          	1992	M07	       544.8	
SMS15000000000000001          	1992	M08	       544.7	
SMS15000000000000001          	1992	M09	       542.4	
SMS15000000000000001          	1992	M10	       541.9	
SMS15000000000000001          	1992	M11	       541.8	
SMS15000000000000001          	1992	M12	       542.1	
SMS15000000000000001          	1993	M01	       538.2	
SMS15000000000000001          	1993	M02	       540.1	
SMS15000000000000001          	1993	M03	       540.3	
SMS15000000000000001          	1993	M04	       541.1	
SMS15000000000000001          	1993	M05	       541.3	
SMS15000000000000001          	1993	M06	       541.2	
SMS15000000000000001          	1993	M07	       539.0	
SMS15000000000000001          	1993	M08	       537.2	
SMS15000000000000001          	1993	M09	       535.9	
SMS15000000000000001          	1993	M10	       538.6	
SMS15000000000000001          	1993	M11	       536.8	
SMS15000000000000001          	1993	M12	       535.6	
SMS15000000000000001          	1994	M01	       535.3	
SMS15000000000000001          	1994	M02	       534.7	
SMS15000000000000001          	1994	M03	       536.2	
SMS15000000000000001          	1994	M04	       536.2	
SMS15000000000000001          	1994	M05	       533.6	
SMS15000000000000001          	1994	M06	       535.7	
